angle,circleRatio,MSE
5,0.5,415486
5,0.55,375747
5,0.6,339492
5,0.65,310779
5,0.7,385533
5,0.75,427666
5,0.8,448983
5,0.85,544507
5,0.9,589245
5,0.95,617085
5,1,675258
5,1.05,807108
5,1.1,940122
5,1.15,969722
5,1.2,969722
5,1.25,1.04799e+06
5,1.3,1.06078e+06
5,1.35,1.06078e+06
5,1.4,1.11142e+06
5,1.45,1.19042e+06
5,1.5,1.26204e+06
6,0.5,571092
6,0.55,476407
6,0.6,362074
6,0.65,311550
6,0.7,288338
6,0.75,312186
6,0.8,332007
6,0.85,391416
6,0.9,409543
6,0.95,473795
6,1,553804
6,1.05,590691
6,1.1,657668
6,1.15,744825
6,1.2,834222
6,1.25,918235
6,1.3,947419
6,1.35,993482
6,1.4,993482
6,1.45,1.08463e+06
6,1.5,1.11945e+06
7,0.5,809690
7,0.55,622419
7,0.6,446452
7,0.65,387643
7,0.7,343764
7,0.75,317598
7,0.8,303547
7,0.85,305261
7,0.9,320455
7,0.95,423070
7,1,418630
7,1.05,428683
7,1.1,556882
7,1.15,578785
7,1.2,622626
7,1.25,676768
7,1.3,784778
7,1.35,851619
7,1.4,939255
7,1.45,953467
7,1.5,1.01944e+06
8,0.5,968565
8,0.55,852734
8,0.6,607762
8,0.65,529907
8,0.7,424515
8,0.75,335972
8,0.8,301356
8,0.85,320479
8,0.9,316758
8,0.95,333578
8,1,353669
8,1.05,386454
8,1.1,411674
8,1.15,469972
8,1.2,541049
8,1.25,582725
8,1.3,615175
8,1.35,635558
8,1.4,770373
8,1.45,832830
8,1.5,953091
9,0.5,1.12588e+06
9,0.55,901275
9,0.6,791301
9,0.65,594184
9,0.7,550794
9,0.75,427905
9,0.8,348750
9,0.85,315801
9,0.9,306090
9,0.95,302458
9,1,317598
9,1.05,324766
9,1.1,355325
9,1.15,423163
9,1.2,440948
9,1.25,489447
9,1.3,514599
9,1.35,552890
9,1.4,589484
9,1.45,645006
9,1.5,713346
10,0.5,1.35155e+06
10,0.55,1.13601e+06
10,0.6,898583
10,0.65,676946
10,0.7,556625
10,0.75,506475
10,0.8,402762
10,0.85,387110
10,0.9,320006
10,0.95,304764
10,1,294033
10,1.05,327471
10,1.1,320911
10,1.15,339625
10,1.2,337059
10,1.25,383033
10,1.3,428006
10,1.35,490398
10,1.4,521179
10,1.45,563617
10,1.5,588942
11,0.5,1.42256e+06
11,0.55,1.18208e+06
11,0.6,978414
11,0.65,789922
11,0.7,642070
11,0.75,558627
11,0.8,492729
11,0.85,452302
11,0.9,329202
11,0.95,313980
11,1,284882
11,1.05,297539
11,1.1,310566
11,1.15,299774
11,1.2,299160
11,1.25,333562
11,1.3,360383
11,1.35,361362
11,1.4,422094
11,1.45,484255
11,1.5,540115
12,0.5,1.51094e+06
12,0.55,1.33465e+06
12,0.6,1.07556e+06
12,0.65,914872
12,0.7,815787
12,0.75,632700
12,0.8,560310
12,0.85,511105
12,0.9,414884
12,0.95,335554
12,1,338780
12,1.05,300262
12,1.1,323197
12,1.15,310907
12,1.2,314615
12,1.25,299070
12,1.3,334494
12,1.35,354443
12,1.4,367395
12,1.45,384387
12,1.5,463263
13,0.5,1.64656e+06
13,0.55,1.46423e+06
13,0.6,1.17176e+06
13,0.65,984051
13,0.7,866994
13,0.75,756339
13,0.8,600554
13,0.85,528546
13,0.9,484646
13,0.95,417745
13,1,329945
13,1.05,340479
13,1.1,310185
13,1.15,324367
13,1.2,306810
13,1.25,310958
13,1.3,333862
13,1.35,339963
13,1.4,340683
13,1.45,374726
13,1.5,390378
14,0.5,1.68918e+06
14,0.55,1.5575e+06
14,0.6,1.22853e+06
14,0.65,1.08804e+06
14,0.7,904119
14,0.75,774961
14,0.8,664370
14,0.85,582275
14,0.9,503254
14,0.95,456906
14,1,355020
14,1.05,339829
14,1.1,332334
14,1.15,335603
14,1.2,303951
14,1.25,320964
14,1.3,315223
14,1.35,328367
14,1.4,337083
14,1.45,360251
14,1.5,379113
15,0.5,1.78302e+06
15,0.55,1.65964e+06
15,0.6,1.4228e+06
15,0.65,1.21981e+06
15,0.7,1.03898e+06
15,0.75,888879
15,0.8,785722
15,0.85,685719
15,0.9,562158
15,0.95,520423
15,1,389206
15,1.05,332721
15,1.1,353403
15,1.15,325473
15,1.2,317917
15,1.25,302033
15,1.3,315334
15,1.35,309309
15,1.4,328787
15,1.45,332889
15,1.5,364406
